alpha_zero_001,alpha_zero_005,alpha_zero_01,alpha_zero_6
0.000867353295556232,0.002703628888709316,0.0036795934478112925,0.005715189763411163
0.0018677169116723877,0.006910171528047555,0.010395877655324787,0.02033307811843817
0.0028861913354085644,0.011576210487257387,0.018395148497358047,0.04126387147740097
0.003918847184688894,0.016573572161544127,0.02735728904316838,0.0669300588357382
0.004964986568273558,0.021878564041911668,0.037221168987324325,0.09629649736650538
0.006024519624054722,0.02749398070223008,0.048002117175479066,0.12863077551104724
0.007097543174804039,0.03343267306650702,0.05974546696748594,0.16338614860965525
0.008184229762590499,0.039712644728557636,0.0725103512927369,0.2001409509052374
0.009284789574466254,0.04635526961641019,0.08636227973720159,0.2385635011103515
0.010399454984988747,0.053384564144454416,0.10136866582843425,0.27838940800441436
0.01152847351826824,0.06082686969241559,0.11759541424074733,0.3194057266153727
0.01267210438178566,0.06871070705138639,0.13510392103803767,0.36143939726888036
0.013830616673993474,0.07706670095910184,0.15394831427469519,0.40434860289158553
0.015004288441067925,0.08592752448623123,0.17417297182842365,0.4480162147058028
0.01619340619383528,0.09532783427069784,0.1958104466793825,0.4923447717370653
0.01739826468874089,0.10530417685725225,0.21887995377314626,0.5372526032440804
0.018619166868378615,0.11589485068861387,0.2433865456890201,0.5826708109248354
0.019856423903293747,0.1271397105905034,0.26932104125119233,0.6285409028281758
0.021110355301271606,0.13907990333376705,0.29666068974122023,0.6748129247149016
0.022381289063876562,0.15175752484497484,0.3253704733646633,0.7214439737338915
0.023669561877807575,0.16521519237855975,0.35540488955715316,0.7683970079431761
0.024975519333265375,0.17949552878299965,0.3867100232024895,0.8156398863343696
0.026299516164369083,0.1946405610483619,0.41922571869252423,0.863144589670917
0.027641916508446433,0.21069104157399782,0.4528876871920341,0.9108865841115441
0.02900309418217732,0.22768570776601557,0.4876294254121557,0.9588442983253653
0.03038343297333404,0.24566050312053833,0.5233838680375794,1.0069986913870006
0.031783326947381126,0.26464779007222955,0.5600847382900971,1.055332893731015
0.03320318076855414,0.28467559060690245,0.5976675949227975,1.10383190725111
0.03464341003529737,0.30576689392820083,0.6360705974409803,1.1524823535525672
0.036104441630122525,0.3279390704584258,0.6752350251029093,1.2012722616212386
0.037586714084092074,0.3512034276320959,0.7151055911197128,1.2501908879277375
0.03909067795624336,0.3755649353319427,0.7556305937147685,1.2992285633542124
0.040616796228349725,0.40102213805516473,0.7967619424319246,1.3483765624085347
0.04216554471549335,0.4275672581675014,0.8384550929885349,1.397626991043218
0.043737412492981846,0.4551864814438937,0.8806689182535296,1.446972690071504
0.0453329023401976,0.48386040411553727,0.9233655373547796,1.496407151715309
0.046952531202016874,0.5135646112179867,0.9665101199055977,1.5459244472530522
0.04859683066848459,0.5442703500651376,1.0100706780708246,1.5955191640866058
0.050266347473472056,0.5759452604708757,1.054017855701982,1.645186350828404
0.051961644013093354,0.6085541246469182,1.0983247210059672,1.6949214692457943
0.053683298884693705,0.6420596038294338,1.142966567079546,1.7447203520830414
0.05543190744727203,0.6764229346947666,1.1879207230366746,1.7945791659418526
