Elong_Experimental,ribosome_fraction
16.7,0.4211952380952381
16.3,0.3220904761904762
16.1,0.27076836734693877
15.9,0.26015
14.9,0.20617329931972792
15.0,0.20086411564625853
14.7,0.1920154761904762
13.7,0.17077874149659866
13.1,0.16281496598639456
12.6,0.15219659863945578
13.0,0.15219659863945578
12.4,0.13449931972789117
12.4,0.141578231292517
12.0,0.13449931972789117
12.1,0.130075
11.6,0.11503231292517008
12.3,0.11857176870748301
10.7,0.10441394557823129
9.4,0.08583180272108844
14.5,0.2176765306122449
15.6,0.26899863945578234
15.9,0.28581105442176874
16.3,0.4043828231292517
16.0,0.3406726190476191
16.1,0.3893401360544218
16.2,0.43092874149659866
16.5,0.4521654761904762
16.6,0.5034875850340136
15.3,0.20440357142857146
15.8,0.2583802721088435
14.3,0.19290034013605442
15.2,0.2229857142857143
16.8,0.4875600340136055
17.3,0.5495005102040816
