growth_rate,ribosome_fraction
0.03496213152184864,0.0821
0.05635856950434843,0.0871
0.07873336880458046,0.0921
0.10185237553676739,0.0971
0.1255615642312747,0.1021
0.14975307230689403,0.1071
0.17434766394888157,0.1121
0.19928493879715042,0.1171
0.2245174999455572,0.1221
0.2500072872116932,0.1271
0.2757231641515607,0.1321
0.3016392674780196,0.1371
0.3277338401728678,0.1421
0.3539883829977696,0.1471
0.3803870224552656,0.1521
0.40691603010200517,0.1571
0.43356345034582416,0.1621
0.460318807710675,0.1671
0.48717287344179167,0.1721
0.5141174771792739,0.1771
0.5411453533794313,0.1821
0.5682500148876047,0.1871
0.5954256479819492,0.1921
0.6226670245790892,0.1971
0.6499694282904143,0.2021
0.6773285917546271,0.2071
0.7047406432236858,0.2121
0.7322020607972253,0.2171
0.7597096330208325,0.2221
0.7872604248116035,0.2271
0.8148517478683076,0.2321
0.8424811348764276,0.2371
0.8701463169399362,0.2421
0.8978452037690804,0.2471
0.9255758662320148,0.2521
0.9533365209419234,0.2571
0.981125516603373,0.2621
1.008941321884443,0.2671
1.0367825146165153,0.2721
1.0646477721529375,0.2771
1.0925358627422208,0.2821
1.120445637791909,0.2871
1.1483760249164614,0.2921
1.176326021677035,0.2971
1.204294689933353,0.3021
1.232281150738308,0.3071
1.2602845797148956,0.3121
1.2883042028626936,0.3171
1.3163392927476782,0.3221
1.344389165034804,0.3271
1.3724531753276543,0.3321
1.4005307162836866,0.3371
1.4286212149772628,0.3421
1.4567241304858287,0.3471
1.4848389516774043,0.3521
1.5129651951799388,0.3571
1.5411024035152676,0.3621
1.5692501433821986,0.3671
1.59740800407497,0.3721
1.6255755960247211,0.3771
1.6537525494529044,0.3821
1.6819385131267084,0.3871
1.7101331532075494,0.3921
1.7383361521845777,0.3971
1.766547207885949,0.4021
1.7947660325612893,0.4071
1.8229923520294316,0.4121
1.851225904886049,0.4171
